193,PRU AESCS NC-M D7-192,2019-01-31 05:44:50
194,PRU AESCS NC-M D7-192,2019-01-31 12:50:29
195,PRU AESCS NC-M D7-192,2019-01-31 16:06:42
196,PRU AESCS NC-M D7-192,2019-01-31 16:55:28
197,PRU AESCS NC-M D7-192,2019-01-31 17:23:48
198,SKAUDE AV-W D2-268,2019-01-31 17:47:21
199,PRU AESCS NC-M D7-192,2019-01-31 17:47:57
200,PRU AESCS NC-M D7-192,2019-01-31 18:30:22
201,PRU AESCS NC-M D7-192,2019-01-31 20:19:33
202,PRU AESCS MC-R B32-16,2019-01-31 22:58:13
203,PLAA AESCS AZ-S C3-21,2019-01-31 23:02:12
204,PRU AESCS NC-M D7-192,2019-01-31 23:21:17
205,PRU AESCS NC-M D7-192,2019-02-01 00:15:38
206,PRU AESCS NC-M D7-192,2019-02-01 01:55:29
207,PRU AESCS NC-M D7-192,2019-02-01 04:42:09
208,PRU AESCS NC-M D7-192,2019-02-01 09:14:57
209,PRU AESCS NC-M D7-192,2019-02-01 09:29:09
210,PRU AESCS NC-M D7-192,2019-02-01 11:05:09
211,PRU AESCS NC-M D7-192,2019-02-01 13:12:44
212,PRU AESCS NC-M D7-192,2019-02-01 15:35:26
213,PRU AESCS NC-M D7-192 ,2019-02-01 20:51:39
214,PRU AESCS NC-M D7-192,2019-02-01 20:53:19
215,PRU AESCS NC-M D7-192,2019-02-01 20:55:41
216,FLYIEDGIAE BU-L C22-10,2019-02-01 21:34:28
217,PRU AESCS MC-R B32-16,2019-02-01 22:00:57
218,PRU AESCS NC-M D7-192,2019-02-01 22:06:07
219,PRU AESCS UY-S E3-8,2019-02-01 23:10:51
220,PRU AESCS NC-M D7-192,2019-02-01 23:39:31
221,PRU AESCS JW-N D6-130,2019-02-01 23:45:13
222,PRU AESCS NC-M D7-192,2019-02-02 00:53:37
223,PRU AESCS NC-M D7-192,2019-02-02 01:30:16
224,PRU AESCS JW-N D6-130,2019-02-02 01:43:02
225,PRU AESCS NC-M D7-192,2019-02-02 02:03:14
226,PRU AESCS NC-M D7-192,2019-02-02 03:08:19
227,PRU AESCS NC-M D7-192,2019-02-02 05:49:02
228,PRU AESCS HW-S B31-2,2019-02-02 11:21:04
229, PRU AESCS NC-M D7-192,2019-02-02 16:14:01
230,PRU AESCS NC-M D7-192,2019-02-02 19:43:24
231,PRU AESCS NC-M D7-192,2019-02-02 21:17:59
232,PRU AESCS NC-M D7-192,2019-02-02 22:25:20
233,PRU AESCS NC-M D7-192,2019-02-02 23:09:43
234,PRU AESCS NC-M D7-192,2019-02-02 23:22:23
235,PRU AESCS NC-M D7-192,2019-02-02 23:24:46
236,PRU AESCS NC-M D7-192,2019-02-02 23:26:10
237,PRU AESCS NC-M D7-192,2019-02-02 23:34:27
238,PRU AESCS NC-M D7-192,2019-02-03 00:01:40
239,FLYIEDGIAE DL-Y G8,2019-02-03 00:07:16
240,PRU AESCS NC-M D7-192,2019-02-03 00:14:03
241,PRU AESCS NC-M D7-192,2019-02-03 00:25:00
242,FLYIEDGIAE AR-K D9-13,2019-02-03 02:33:50
243,PRU AESCE ND-M D7-192,2019-02-03 03:31:00
244,PRU AESCS NC-M D7-192,2019-02-03 04:07:09
245,PRU AESCS NC-M D7-192,2019-02-03 04:14:07
246,PRU AESCS HR-U C16-36,2019-02-03 04:38:36
247,PRU AESCS QM-W D1-0,2019-02-03 05:53:50
248,PRU AESCS NC-M D7-192,2019-02-03 07:42:43
249,PRUE AESCS NC-M D7-192 ,2019-02-03 09:29:21
250,PRU AESCS NC-M D7-192,2019-02-03 10:35:35
251,PRU AESCS NC-M D7-192,2019-02-03 12:02:56
252,PRU AESCS NC-M D7-192,2019-02-03 12:45:54
253,PRU AESCS NC-M D7-192,2019-02-03 13:26:14
254,PRU AESCS NC-M D7-192,2019-02-03 14:12:23
255,PRU AESCS NC-M D7-192,2019-02-03 15:39:08
256,PRU AESCS NC-M D7-192,2019-02-03 16:00:30
257,PRU AESCS NC-M D7-192,2019-02-03 17:21:07
258,PRU AESCS NC-M D7-192,2019-02-03 17:26:16
259,PRU AESCS NC-M D7-192,2019-02-03 17:36:05
